waypoint1	waypoint2	distance_m	duration_s
White House, Pennsylvania Avenue Northwest, Washington, DC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1114274	36644
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Mount Vernon, Fairfax County, Virginia	2656789	87060
The Breakers, Ochre Point Avenue, Newport, RI	Taliesin, County Road C, Spring Green, Wisconsin	1855961	64295
Olympia Entertainment, Woodward Avenue, Detroit, MI	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	624703	22369
Mount Vernon, Fairfax County, Virginia	Statue of Liberty, Liberty Island, NYC, NY	386403	14404
The Breakers, Ochre Point Avenue, Newport, RI	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	371031	14049
Terrace Hill, Grand Avenue, Des Moines, IA	Olympia Entertainment, Woodward Avenue, Detroit, MI	961951	31389
Columbia River Gorge National Scenic Area, Oregon	Lost World Caverns, Lewisburg, WV	4123092	132023
Gateway Arch, Washington Avenue, St Louis, MO	French Quarter, New Orleans, LA	1092193	34818
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	The Alamo, Alamo Plaza, San Antonio, TX	3129292	101614
Columbia River Gorge National Scenic Area, Oregon	San Andreas Fault, San Benito County, CA	1228419	42607
Fort Snelling, Tower Avenue, Saint Paul, MN	Shelburne Farms, Harbor Road, Shelburne, VT	2108269	74065
Hoover Dam, NV	Lost World Caverns, Lewisburg, WV	3537579	111805
Terrace Hill, Grand Avenue, Des Moines, IA	Taliesin, County Road C, Spring Green, Wisconsin	431273	14658
Glacier National Park, West Glacier, MT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2627805	88585
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Maryland State House, 100 State Cir, Annapolis, MD 21401	2875021	94836
The Breakers, Ochre Point Avenue, Newport, RI	Hanford Site, Benton County, WA	4674471	153141
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	San Andreas Fault, San Benito County, CA	2345929	78216
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Congress Hall, Congress Place, Cape May, NJ 08204	2014264	67826
Maryland State House, 100 State Cir, Annapolis, MD 21401	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1700468	54949
White House, Pennsylvania Avenue Northwest, Washington, DC	Pikes Peak, Colorado	2685136	90910
Olympia Entertainment, Woodward Avenue, Detroit, MI	USS Alabama, Battleship Parkway, Mobile, AL	1585128	51442
Graceland, Elvis Presley Boulevard, Memphis, TN	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	482758	15620
Gateway Arch, Washington Avenue, St Louis, MO	Bryce Canyon National Park, Hwy 63, Bryce, UT	2275433	73285
USS Constitution, Boston, MA	Carlsbad Caverns National Park, Carlsbad, NM	3599410	121335
Pikes Peak, Colorado	Ashfall Fossil Bed, Royal, NE	948926	35448
White House, Pennsylvania Avenue Northwest, Washington, DC	Gateway Arch, Washington Avenue, St Louis, MO	1314886	44972
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3288988	105196
Toltec Mounds, Scott, AR	USS Alabama, Battleship Parkway, Mobile, AL	703118	26342
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Liberty Bell, 6th Street, Philadelphia, PA	1339784	44614
Gateway Arch, Washington Avenue, St Louis, MO	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	444878	15987
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Liberty Bell, 6th Street, Philadelphia, PA	1171045	40717
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1667022	56579
